location,bin_idx,bin_label,value
myanmar,15,85+,88.0000
nepal,0,0-15,0.0000
nepal,1,15-20,0.0000
nepal,2,20-25,10.0000
nepal,3,25-30,4.0000
nepal,4,30-35,38.0000
nepal,5,35-40,108.0000
nepal,6,40-45,183.0000
nepal,7,45-50,249.0000
nepal,8,50-55,287.0000
nepal,9,55-60,269.0000
nepal,10,60-65,250.0000
nepal,11,65-70,246.0000
nepal,12,70-75,231.0000
nepal,13,75-80,200.0000
nepal,14,80-85,107.0000
nepal,15,85+,62.0000
nigeria,0,0-15,0.0000
nigeria,1,15-20,25.0000
nigeria,2,20-25,333.0000
nigeria,3,25-30,858.0000
nigeria,4,30-35,1231.0000
nigeria,5,35-40,1534.0000
nigeria,6,40-45,1651.0000
nigeria,7,45-50,1520.0000
nigeria,8,50-55,1312.0000
nigeria,9,55-60,1124.0000
nigeria,10,60-65,912.0000
nigeria,11,65-70,666.0000
nigeria,12,70-75,460.0000
nigeria,13,75-80,122.0000
nigeria,14,80-85,39.0000
nigeria,15,85+,0.0000
sierra leone,0,0-15,0.0000
sierra leone,1,15-20,0.0000
sierra leone,2,20-25,3.0000
sierra leone,3,25-30,9.0000
sierra leone,4,30-35,22.0000
sierra leone,5,35-40,37.0000
sierra leone,6,40-45,50.0000
sierra leone,7,45-50,61.0000
sierra leone,8,50-55,71.0000
sierra leone,9,55-60,73.0000
sierra leone,10,60-65,66.0000
sierra leone,11,65-70,51.0000
sierra leone,12,70-75,34.0000
sierra leone,13,75-80,18.0000
sierra leone,14,80-85,7.0000
sierra leone,15,85+,2.0000
tanzania,0,0-15,0.0000
tanzania,1,15-20,0.0000
tanzania,2,20-25,14.0000
tanzania,3,25-30,206.0000
tanzania,4,30-35,467.0000
tanzania,5,35-40,730.0000
tanzania,6,40-45,968.0000
tanzania,7,45-50,1151.0000
tanzania,8,50-55,1273.0000
tanzania,9,55-60,1440.0000
tanzania,10,60-65,1430.0000
tanzania,11,65-70,1177.0000
tanzania,12,70-75,852.0000
tanzania,13,75-80,413.0000
tanzania,14,80-85,119.0000
tanzania,15,85+,0.0000
togo,0,0-15,0.0000
togo,1,15-20,0.0000
togo,2,20-25,3.0000
togo,3,25-30,3.0000
togo,4,30-35,12.0000
togo,5,35-40,28.0000
togo,6,40-45,43.0000
togo,7,45-50,56.0000
togo,8,50-55,60.0000
togo,9,55-60,64.0000
togo,10,60-65,62.0000
togo,11,65-70,51.0000
togo,12,70-75,36.0000
togo,13,75-80,22.0000
togo,14,80-85,11.0000
togo,15,85+,4.0000
zambia,0,0-15,0.0000
zambia,1,15-20,4.0000
zambia,2,20-25,14.0000
zambia,3,25-30,118.0000
zambia,4,30-35,224.0000
zambia,5,35-40,333.0000
zambia,6,40-45,409.0000
zambia,7,45-50,403.0000
zambia,8,50-55,366.0000
zambia,9,55-60,363.0000
zambia,10,60-65,329.0000
zambia,11,65-70,268.0000
zambia,12,70-75,188.0000
zambia,13,75-80,101.0000
zambia,14,80-85,36.0000
zambia,15,85+,5.0000
