scenario,year,cum_med,cum_lb,cum_ub
No vaccination,2024.0000,0.0000,0.0000,6.6580
No vaccination,2025.0000,2.2510,0.0000,13.5411
No vaccination,2026.0000,13.5872,0.0000,33.5276
No vaccination,2027.0000,61.5103,13.2711,113.1797
No vaccination,2028.0000,122.0113,54.4925,242.6264
No vaccination,2029.0000,256.2988,130.2874,422.5332
No vaccination,2030.0000,471.0258,287.1095,703.9820
No vaccination,2031.0000,851.1431,550.3867,1280.8687
No vaccination,2032.0000,1489.2654,1032.0967,2063.0056
No vaccination,2033.0000,2368.2739,1769.2505,3055.4600
No vaccination,2034.0000,3712.5385,2737.2229,4589.1289
No vaccination,2035.0000,5564.0846,4235.2985,6550.1942
No vaccination,2036.0000,7996.0504,6290.3971,9288.8581
No vaccination,2037.0000,11305.2707,9246.7833,13035.2821
No vaccination,2038.0000,15465.7005,12767.0079,17626.1181
No vaccination,2039.0000,20629.7582,17505.7335,23259.2930
No vaccination,2040.0000,26966.1190,23467.6437,29927.8372
No vaccination,2041.0000,34573.6618,30548.9328,38075.4071
No vaccination,2042.0000,43482.4600,39119.7300,47745.9190
No vaccination,2043.0000,54173.5085,49056.0401,58899.6765
No vaccination,2044.0000,66346.0895,60685.3172,71578.4009
No vaccination,2045.0000,80162.1128,73715.4509,86605.6783
No vaccination,2046.0000,95650.2412,88317.7697,102725.3184
No vaccination,2047.0000,113253.5618,104528.0563,120816.6482
No vaccination,2048.0000,132268.4657,122201.1778,140798.3221
No vaccination,2049.0000,153285.8888,142237.8640,162758.4708
No vaccination,2050.0000,176289.4131,164079.4838,186650.6165
No vaccination,2051.0000,201483.4314,187374.1545,212989.2479
No vaccination,2052.0000,228504.4367,213105.4332,240858.6025
No vaccination,2053.0000,256716.3158,240631.7224,270409.3786
No vaccination,2054.0000,287446.0264,270156.7254,302768.0571
No vaccination,2055.0000,319843.0729,301135.2655,336605.1912
No vaccination,2056.0000,353993.2234,334467.0599,372510.1733
No vaccination,2057.0000,390163.5774,368823.6982,409687.5017
No vaccination,2058.0000,427876.3156,405486.4575,448817.4399
No vaccination,2059.0000,467407.2894,443993.0245,489724.4334
No vaccination,2060.0000,508807.9771,483602.7969,532830.7087
No vaccination,2061.0000,551468.4780,525359.2362,577513.7025
No vaccination,2062.0000,595116.9272,568256.0516,622093.2661
No vaccination,2063.0000,640243.1519,612405.2489,667944.9508
No vaccination,2064.0000,685925.9723,656151.3096,714593.8679
No vaccination,2065.0000,731769.6056,699981.4132,761667.6253
No vaccination,2066.0000,777915.4006,744512.6711,808977.1615
No vaccination,2067.0000,824617.7785,790389.2794,856949.5032
No vaccination,2068.0000,870438.6407,835098.7325,904422.0664
No vaccination,2069.0000,915700.7411,878969.1209,951352.1752
No vaccination,2070.0000,960776.6904,923077.1686,997908.9023
No vaccination,2071.0000,1005030.2150,966374.6148,1044194.2116
No vaccination,2072.0000,1048444.4185,1008834.9021,1089588.3672
No vaccination,2073.0000,1090446.3965,1049024.4900,1132828.0306
No vaccination,2074.0000,1130761.0448,1088553.4762,1174532.6788
No vaccination,2075.0000,1170622.6010,1126854.0588,1215512.6285
No vaccination,2076.0000,1208835.5367,1164091.7877,1255604.5018
No vaccination,2077.0000,1244984.8360,1199121.3580,1292904.6978
No vaccination,2078.0000,1279882.0122,1232969.3462,1328969.6813
No vaccination,2079.0000,1312900.6844,1264808.7927,1363296.0376
No vaccination,2080.0000,1344139.7291,1294905.2984,1395805.3542
No vaccination,2081.0000,1373101.4866,1322965.7048,1426173.5697
No vaccination,2082.0000,1400619.9639,1349596.9791,1454897.9214
No vaccination,2083.0000,1426451.1760,1374559.9371,1481941.6600
No vaccination,2084.0000,1450832.9814,1397838.8266,1507528.5751
No vaccination,2085.0000,1473862.5824,1420078.8154,1531163.1921
No vaccination,2086.0000,1494875.2009,1440310.2021,1553264.9820
No vaccination,2087.0000,1514215.4205,1458815.1022,1573501.7763
No vaccination,2088.0000,1532198.0542,1476357.2654,1591901.3235
No vaccination,2089.0000,1548523.3180,1492357.9504,1609301.4970
No vaccination,2090.0000,1563433.9598,1506816.7534,1624980.7663
No vaccination,2091.0000,1577123.1216,1519787.5033,1639433.4808
No vaccination,2092.0000,1589515.0349,1531722.8776,1652888.7442
No vaccination,2093.0000,1600917.5039,1542217.5555,1664874.5876
No vaccination,2094.0000,1610961.2490,1551548.9335,1675497.4549
No vaccination,2095.0000,1619885.9856,1560246.2988,1685171.4595
No vaccination,2096.0000,1627867.8651,1567619.8638,1693644.7240
No vaccination,2097.0000,1635129.0969,1574233.9958,1701425.4961
No vaccination,2098.0000,1641330.9668,1579813.9475,1707883.1702
No vaccination,2099.0000,1646772.2973,1584593.5268,1713800.5210
No vaccination,2100.0000,1651143.7603,1588656.7607,1718686.7887
No vaccination,2101.0000,1655032.0965,1592290.2258,1722790.2179
No vaccination,2102.0000,1658377.6839,1595214.8900,1726478.9658
No vaccination,2103.0000,1661234.9622,1597789.0368,1729712.8253
No vaccination,2104.0000,1663414.1723,1599732.0811,1732210.0733
No vaccination,2105.0000,1665234.6601,1601350.1715,1734400.4483
No vaccination,2106.0000,1666670.1986,1602419.5587,1736182.0422
No vaccination,2107.0000,1667786.7393,1603348.2941,1737539.3570
No vaccination,2108.0000,1668660.9598,1604086.8139,1738611.1866
No vaccination,2109.0000,1669371.0136,1604622.0674,1739462.9369
No vaccination,2110.0000,1669824.1717,1604955.4816,1740059.5468
No vaccination,2111.0000,1670138.7040,1605185.1305,1740483.1086
No vaccination,2112.0000,1670359.1941,1605358.9733,1740800.0093
No vaccination,2113.0000,1670490.1494,1605437.9149,1741004.2120
No vaccination,2114.0000,1670553.5844,1605441.3729,1741128.9747
No vaccination,2115.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2116.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2117.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2118.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2119.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2120.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2121.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2122.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2123.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2124.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2125.0000,1670571.1592,1605441.3729,1741192.4523
Double dose,2024.0000,0.0000,0.0000,6.6580
Double dose,2025.0000,1.5182,0.0000,15.1699
Double dose,2026.0000,9.0559,5.3014,36.7062
Double dose,2027.0000,35.4584,15.7057,143.6894
Double dose,2028.0000,90.2770,37.4598,245.8704
Double dose,2029.0000,196.8037,110.9894,446.1013
Double dose,2030.0000,392.2420,258.1566,730.6935
Double dose,2031.0000,718.0718,464.4540,1140.8459
Double dose,2032.0000,1218.1984,857.9689,1759.4292
Double dose,2033.0000,2006.3849,1463.1494,2650.2126
Double dose,2034.0000,3095.8187,2308.4169,3850.4398
Double dose,2035.0000,4661.9602,3561.9965,5615.8687
Double dose,2036.0000,6781.3877,5303.2334,8062.3748
Double dose,2037.0000,9450.5758,7699.0022,11055.1320
Double dose,2038.0000,12714.4998,10654.4287,14534.3762
Double dose,2039.0000,16792.6787,14472.4282,19037.8950
Double dose,2040.0000,21825.9067,18958.2702,24537.2807
Double dose,2041.0000,27625.6732,24391.5827,30691.8606
Double dose,2042.0000,34515.4137,30899.5144,38032.4071
Double dose,2043.0000,42508.4773,38316.4944,46456.2053
Double dose,2044.0000,51674.1328,46954.4766,56027.3566
Double dose,2045.0000,61983.7419,56347.8920,67242.8001
Double dose,2046.0000,73334.3846,67048.3894,79026.7825
Double dose,2047.0000,86037.5784,78913.9155,92436.7119
Double dose,2048.0000,100008.2527,92006.8504,107018.2854
Double dose,2049.0000,115229.5102,106482.0729,123132.5630
Double dose,2050.0000,131922.0894,122290.4897,140482.2100
Double dose,2051.0000,149767.4256,139540.1129,159171.0428
Double dose,2052.0000,169195.0529,157657.7135,179340.9118
Double dose,2053.0000,190286.6626,177560.8784,201017.8381
Double dose,2054.0000,212224.4584,198488.3776,224428.4428
Double dose,2055.0000,235861.6074,221027.6160,249035.8276
Double dose,2056.0000,260459.5654,244731.1651,274574.2154
Double dose,2057.0000,286379.1172,269787.7200,301356.0575
Double dose,2058.0000,313637.1868,296154.4861,329946.8830
Double dose,2059.0000,342204.6333,323314.9168,359488.0587
Double dose,2060.0000,371757.4168,351827.9910,390336.6289
Double dose,2061.0000,402366.2714,381035.6102,422363.5839
Double dose,2062.0000,434026.7580,411371.6086,455096.4619
Double dose,2063.0000,466570.0642,443303.6763,488801.3819
Double dose,2064.0000,499974.9395,476027.5925,523512.1665
Double dose,2065.0000,533254.9877,508346.4065,557753.0799
Double dose,2066.0000,567360.2897,541311.4087,593234.0113
Double dose,2067.0000,601461.1799,574431.4665,628211.3954
Double dose,2068.0000,635173.7559,606565.7033,663597.6086
Double dose,2069.0000,668925.2549,639105.4569,698570.1595
Double dose,2070.0000,702678.1819,671275.2519,733125.4811
Double dose,2071.0000,735469.3286,702742.3559,766988.6306
Double dose,2072.0000,767436.8023,733721.5315,800173.4969
Double dose,2073.0000,798808.8415,764218.6339,832325.6008
Double dose,2074.0000,829806.2758,793545.2137,864066.5629
Double dose,2075.0000,859306.0314,822198.4682,894611.8179
Double dose,2076.0000,888186.4798,849845.1404,925253.4352
Double dose,2077.0000,915769.0262,876834.7789,953788.8620
Double dose,2078.0000,942147.0170,902257.1044,981431.0424
Double dose,2079.0000,967508.1738,926549.3764,1007552.3539
Double dose,2080.0000,991481.2211,949387.8368,1032097.7327
Double dose,2081.0000,1014207.0649,971647.7697,1055516.1198
Double dose,2082.0000,1035481.4953,991642.9687,1078003.1546
Double dose,2083.0000,1055350.1877,1010513.9465,1098933.6352
Double dose,2084.0000,1074275.8275,1028627.8171,1118758.1148
Double dose,2085.0000,1092207.4031,1045842.9664,1137588.4134
Double dose,2086.0000,1108670.5530,1061148.4750,1154617.2075
Double dose,2087.0000,1123751.5976,1075686.3698,1170386.0467
Double dose,2088.0000,1137893.9625,1088864.8733,1185178.2346
Double dose,2089.0000,1151014.3217,1101415.2675,1199353.8632
Double dose,2090.0000,1163198.8081,1112686.4618,1212246.1915
Double dose,2091.0000,1174044.0553,1122912.0358,1223682.9666
Double dose,2092.0000,1183984.4482,1132144.5222,1234039.0113
Double dose,2093.0000,1193052.0830,1140739.8174,1243325.7959
Double dose,2094.0000,1200889.6949,1148044.0626,1251747.5492
Double dose,2095.0000,1207856.4503,1154609.2694,1259378.5564
Double dose,2096.0000,1214169.4661,1160582.4966,1266122.1262
Double dose,2097.0000,1219745.4722,1165810.8146,1272247.7058
Double dose,2098.0000,1224661.1996,1170276.0023,1277740.2078
Double dose,2099.0000,1228813.7697,1174125.5470,1282376.8914
Double dose,2100.0000,1232457.6541,1177344.1405,1286479.1096
Double dose,2101.0000,1235625.4249,1180128.3314,1289972.5210
Double dose,2102.0000,1238226.8498,1182503.2993,1292815.4659
Double dose,2103.0000,1240450.9438,1184442.2371,1295216.1031
Double dose,2104.0000,1242256.4807,1186005.2673,1297183.7389
Double dose,2105.0000,1243727.8239,1187258.1471,1298894.9717
