,location,No vaccination,No vaccination - lb,No vaccination - ub,Single dose shipments,Single dose shipments - lb,Single dose shipments - ub,Single dose actual,Single dose actual - lb,Single dose actual - ub,Double dose,Double dose - lb,Double dose - ub
0,bangladesh,222160.36820983887,208881.35179634095,235822.7239433289,104295.01809883118,85148.28117370605,116337.11992301942,111144.09094238281,95294.10948295593,118529.84504356384,168875.63097572327,157671.7788772583,186478.76189804077
0,burkina faso,20601.716947555542,17651.295342826845,23488.565945386887,10413.532562732697,8549.533643198014,13715.975396966935,13335.964454174042,11406.020743274688,16474.25762023926,16149.27941608429,15103.18186249733,18306.944776153567
0,cambodia,10188.079376220703,8008.153820800781,11369.141911315917,5660.044097900391,4193.284098815918,6536.54235534668,7021.149940490723,5179.209875488281,8269.054901123047,8263.66438293457,6155.4327194213865,9504.022618103028
0,cameroon,98175.01688718796,96064.00843334198,99602.4926618576,87965.60034275055,84011.36796264649,89963.44601802826,87663.51720046997,84610.92967853547,89220.52806158066,94831.6106581688,92342.23105211258,97414.17865896225
0,cote divoire,70359.39500021935,69899.71121535302,71357.05407505036,57914.79204893112,56312.04029893875,58723.386341667174,52414.121138095856,51343.93440489769,53596.16263270378,66047.6263949871,63468.86390285492,67012.81186051368
0,ethiopia,305469.1332101822,302049.8126279831,314345.88249492645,67224.95585632324,65503.67576313019,70971.6431892395,146002.54209327698,141628.5907436371,151538.09351787568,164376.94004058838,160294.4443222046,168098.2831867218
0,gambia,5309.847980499268,5102.221379375458,5452.362977874279,2823.5919277071953,2685.59325568974,2879.8282185852527,2938.6563311219215,2813.695574453473,3013.2322338432073,4203.186998024583,4074.4953770130874,4332.899588784576
0,laos,4903.423070907593,4174.255216598511,5759.293279647827,137.40073204040527,60.41436767578125,226.76365089416518,1769.4277477264404,1378.6223068237305,2121.215576171875,1472.600212097168,1182.065839767456,1818.9339656829834
0,mali,47666.433334350586,44451.66426086426,52290.14440917969,43126.3899230957,37787.74938964844,45002.47637939453,48103.543228149414,41933.05305480957,51157.94925842285,46215.6575012207,43092.60105895996,50015.027557373054
0,mozambique,100372.45430469513,97335.08561019898,101972.36160540581,66147.11727142334,64278.88584909439,69528.71000971794,67365.52838540077,64860.79340214729,69635.23664131164,85465.25209140778,81911.89051947594,86722.94336252213
0,myanmar,75108.38216018677,72750.56685562133,78510.77112960815,53593.579454422,48327.717507171634,58163.05769386292,48091.29099273682,43162.87419815063,50281.46008453369,66758.23263549805,61715.902252197266,70186.41477012634
0,nepal,50689.4720416069,46040.2188123703,55260.50220527649,13924.686700344086,11112.672344589233,19733.241123008727,50478.87085580826,43854.98969926834,54588.58722696304,33726.120258808136,30467.83436794281,37609.18735370636
0,nigeria,274271.8714981079,261641.9883911133,287338.81176605227,79025.98696899414,73188.23267059326,88993.42786102295,92583.49025726318,80136.45312347412,99188.31325073242,175690.08917236328,163167.23824005126,190340.21938781737
0,sierra leone,8533.64887714386,7713.5989622116085,9258.255210113526,6274.741161346436,5747.325088500977,6972.109947776795,5606.185579299927,5167.460169792175,5981.657128334045,7486.920232772827,6700.8609823226925,8305.394388580322
0,tanzania,298889.92976140976,296378.01405801775,301512.1370094299,228770.4492430687,226236.08936605454,230902.5921877861,190633.0251493454,187356.71137399675,193774.61382732392,257921.44145298004,253831.90560045242,260458.72568683623
0,togo,5198.207558512688,4589.746109867096,6093.56967291832,895.527921795845,611.4465582370758,1076.4577350139618,2045.6180021762848,1807.9714192390443,2320.7440736055373,2319.25151014328,2028.7024597883224,2694.7098548650742
0,zambia,73181.11839866638,71238.6244089365,75898.19004993439,30256.543335556984,28056.378360033035,33299.272465658185,43446.05683505535,40048.16842296124,44961.05981369019,46483.824625492096,44576.7238452673,48740.49653427601
