,location,No vaccination,No vaccination - lb,No vaccination - ub,Single dose shipments,Single dose shipments - lb,Single dose shipments - ub,Single dose actual,Single dose actual - lb,Single dose actual - ub,Double dose,Double dose - lb,Double dose - ub
0,bangladesh,222160.36820983887,208881.35179634095,235822.7239433289,106671.74820327759,86022.3045387268,121213.25044746399,112600.79696846008,99444.44342460632,125276.69183959962,172019.04808044434,152703.6486808777,185814.30551948547
0,burkina faso,20601.716947555542,17651.295342826845,23488.565945386887,11167.861580371857,9508.8121052742,12794.175825738906,13767.68731212616,12012.330422258377,16911.19922771454,16151.65157175064,14188.024151039124,19396.21470208168
0,cambodia,10188.079376220703,8008.153820800781,11369.141911315917,5719.339797973633,4944.72233428955,6640.04030456543,7118.179267883301,5781.330757141113,7987.669851684571,8053.434173583984,6654.594703674316,9532.053312683105
0,cameroon,98175.01688718796,96064.00843334198,99602.4926618576,87399.83241319656,83876.71017208099,90577.8592918396,87223.19106435776,84742.51488599778,88663.97224702835,93536.23546028137,89278.90303449631,95841.29301328659
0,cote divoire,70359.39500021935,69899.71121535302,71357.05407505036,57922.00888133049,56017.61187415123,59268.219936656955,52670.301114320755,51870.36811027527,53581.72871427536,65980.87564110756,64973.832588529585,67240.85132169724
0,ethiopia,305469.1332101822,302049.8126279831,314345.88249492645,71807.99520587921,69769.91560897828,74082.61885032654,150036.46173763275,146589.67797679902,153848.62127876282,167122.53949546814,160539.43609352113,171107.88267402648
0,gambia,5309.847980499268,5102.221379375458,5452.362977874279,2860.506776511669,2695.528830862045,2987.588167348504,2948.081404566765,2816.7980683505534,3104.2627300590275,4213.790187686682,4102.024542418122,4288.837308758497
0,laos,4903.423070907593,4174.255216598511,5759.293279647827,169.91540908813477,107.19354820251465,311.9311275482178,1782.0140743255615,1360.5819053649902,2002.484561920166,1532.3852634429932,1239.5433979034424,1947.7340412139893
0,mali,47666.433334350586,44451.66426086426,52290.14440917969,41144.646224975586,37157.02392578125,45442.804275512695,46880.70816040039,43025.559661865234,50975.06036376953,46655.44906616211,41778.05334472656,49155.82501220703
0,mozambique,100372.45430469513,97335.08561019898,101972.36160540581,68327.60798501968,64961.99501676559,70073.33225526809,68071.27551317215,65969.34898757935,70856.97714853287,85774.84865283966,84421.94686222076,88413.40429825782
0,myanmar,75108.38216018677,72750.56685562133,78510.77112960815,54893.92504501343,49475.46046905518,58034.09746017456,50143.90236663818,45542.18401260376,53690.29899864197,65941.4864768982,61718.051411819455,69947.83996696472
0,nepal,50689.4720416069,46040.2188123703,55260.50220527649,13894.600912570953,11143.7608625412,19181.6691576004,50478.87085580826,43854.98969926834,54588.58722696304,35130.12192249298,31997.193305587767,37770.64771995544
0,nigeria,274271.8714981079,261641.9883911133,287338.81176605227,83597.18427276611,75520.65905914307,90630.13959503174,95705.28385925293,86977.64117736816,104370.49075469971,185702.12644195557,167466.39403533936,196815.7103652954
0,sierra leone,8533.64887714386,7713.5989622116085,9258.255210113526,6443.568252563477,5882.611904335022,6870.36333026886,5502.638298988342,4712.0770677566525,5989.760914802551,7609.601360321045,6982.689727210998,8113.8319664001465
0,tanzania,298889.92976140976,296378.01405801775,301512.1370094299,230049.34416294098,226506.51114530565,233557.02469825745,191677.61514377594,187056.0162928581,194731.34353504181,261548.2256603241,255230.88363685607,264262.2150613785
0,togo,5198.207558512688,4589.746109867096,6093.56967291832,626.0403493642807,433.6676841497421,933.1732606887819,1909.6304091215134,1532.1819735765457,2475.4713707685473,2219.7484154701233,2002.9975033283233,2487.743421030045
0,zambia,73181.11839866638,71238.6244089365,75898.19004993439,31256.195223093033,29555.545344281196,33600.09908699989,43542.29780912399,41007.774501609805,45248.22736546993,47081.445034861565,44987.44892253876,48643.94464364052
