location,scenario,year,cum_med,cum_lb,cum_ub
bangladesh,No vaccination,2109,220678.1085,186499.2059,262743.6570
bangladesh,No vaccination,2110,220882.5584,186596.3196,263101.4444
bangladesh,No vaccination,2111,220984.7834,186647.4321,263357.0068
bangladesh,No vaccination,2112,221087.0083,186698.5446,263561.4567
bangladesh,No vaccination,2113,221138.1208,186698.5446,263714.7941
bangladesh,No vaccination,2114,221138.1208,186698.5446,263817.0190
bangladesh,No vaccination,2115,221138.1208,186698.5446,263868.1315
bangladesh,No vaccination,2116,221138.1208,186698.5446,263868.1315
bangladesh,No vaccination,2117,221138.1208,186698.5446,263868.1315
bangladesh,No vaccination,2118,221138.1208,186698.5446,263868.1315
bangladesh,No vaccination,2119,221138.1208,186698.5446,263868.1315
bangladesh,No vaccination,2120,221138.1208,186698.5446,263868.1315
bangladesh,No vaccination,2121,221138.1208,186698.5446,263868.1315
bangladesh,No vaccination,2122,221138.1208,186698.5446,263868.1315
bangladesh,No vaccination,2123,221138.1208,186698.5446,263868.1315
bangladesh,No vaccination,2124,221138.1208,186698.5446,263868.1315
bangladesh,No vaccination,2125,221138.1208,186698.5446,263868.1315
bangladesh,Single dose shipments,2024,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2025,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2026,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2027,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2028,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2029,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2030,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2031,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2032,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2033,0.0000,0.0000,5.1112
bangladesh,Single dose shipments,2034,0.0000,0.0000,56.2237
bangladesh,Single dose shipments,2035,25.5562,0.0000,107.3362
bangladesh,Single dose shipments,2036,76.6687,0.0000,209.5612
bangladesh,Single dose shipments,2037,76.6687,0.0000,311.7861
bangladesh,Single dose shipments,2038,127.7812,0.0000,465.1235
bangladesh,Single dose shipments,2039,230.0061,0.0000,618.4610
bangladesh,Single dose shipments,2040,332.2311,0.0000,822.9109
bangladesh,Single dose shipments,2041,434.4560,51.1125,981.3595
bangladesh,Single dose shipments,2042,638.9060,148.2262,1288.0344
bangladesh,Single dose shipments,2043,894.4683,250.4511,1650.9330
bangladesh,Single dose shipments,2044,1175.5870,449.7898,2110.9453
bangladesh,Single dose shipments,2045,1482.2618,654.2397,2570.9576
bangladesh,Single dose shipments,2046,1942.2741,853.5784,3184.3073
bangladesh,Single dose shipments,2047,2351.1739,1155.1420,3751.6558
bangladesh,Single dose shipments,2048,2913.4112,1558.9305,4477.4530
