comparison,year,cum_med,cum_lb,cum_ub
Single dose actual vs Double dose,2055.0000,61835.4424,44943.5370,79366.6172
Single dose actual vs Double dose,2056.0000,68798.2451,50904.7116,87445.5317
Single dose actual vs Double dose,2057.0000,76232.7020,56477.0212,96096.9186
Single dose actual vs Double dose,2058.0000,83433.8179,62815.2726,104246.2896
Single dose actual vs Double dose,2059.0000,92009.6136,69717.7960,113684.9366
Single dose actual vs Double dose,2060.0000,99887.4681,76341.2911,123407.0729
Single dose actual vs Double dose,2061.0000,108810.3619,84160.8240,133876.4245
Single dose actual vs Double dose,2062.0000,117837.5420,91680.2596,144952.8391
Single dose actual vs Double dose,2063.0000,127122.7821,99391.2136,155661.4760
Single dose actual vs Double dose,2064.0000,136719.0295,107578.8318,166403.6270
Single dose actual vs Double dose,2065.0000,146366.5086,115723.6295,177557.3562
Single dose actual vs Double dose,2066.0000,155279.6615,123051.9206,188073.4834
Single dose actual vs Double dose,2067.0000,164820.6780,130083.7325,198416.0052
Single dose actual vs Double dose,2068.0000,173165.4287,136678.9198,208110.8247
Single dose actual vs Double dose,2069.0000,181763.7155,142608.7778,217958.5581
Single dose actual vs Double dose,2070.0000,189573.1549,149372.2830,227267.9237
Single dose actual vs Double dose,2071.0000,197551.5933,155792.0404,236309.2630
Single dose actual vs Double dose,2072.0000,204829.3097,161902.7667,245234.4834
Single dose actual vs Double dose,2073.0000,211473.7744,166837.8048,253964.7432
Single dose actual vs Double dose,2074.0000,218574.8368,172299.4591,262235.5723
Single dose actual vs Double dose,2075.0000,224919.3099,177273.2090,269608.8199
Single dose actual vs Double dose,2076.0000,230593.6543,180761.4410,276553.7902
Single dose actual vs Double dose,2077.0000,236290.3503,185235.7894,283363.5523
Single dose actual vs Double dose,2078.0000,241133.0524,189240.8169,289970.5882
Single dose actual vs Double dose,2079.0000,245670.7039,192808.5741,295507.2213
Single dose actual vs Double dose,2080.0000,249540.0219,195337.0643,301365.7956
Single dose actual vs Double dose,2081.0000,253486.9190,197414.2959,305756.8876
Single dose actual vs Double dose,2082.0000,256956.9547,199933.0703,309765.2606
Single dose actual vs Double dose,2083.0000,260037.5705,201929.5278,314342.8141
Single dose actual vs Double dose,2084.0000,262694.8575,203414.0898,317554.3721
Single dose actual vs Double dose,2085.0000,265094.3583,204494.2872,321051.6498
Single dose actual vs Double dose,2086.0000,266764.1555,205179.8436,324292.9152
Single dose actual vs Double dose,2087.0000,268697.2211,205674.8624,327241.8232
Single dose actual vs Double dose,2088.0000,270474.4240,206589.8228,330651.2445
Single dose actual vs Double dose,2089.0000,272076.0576,207015.7646,333004.7963
Single dose actual vs Double dose,2090.0000,273529.2847,207557.6786,335100.9768
Single dose actual vs Double dose,2091.0000,274501.2773,208068.9338,336935.8400
Single dose actual vs Double dose,2092.0000,275380.1274,208484.0917,339232.8084
Single dose actual vs Double dose,2093.0000,276534.3619,208724.2140,340856.8807
Single dose actual vs Double dose,2094.0000,277261.7843,208784.0397,342558.8440
Single dose actual vs Double dose,2095.0000,277683.6009,208688.7784,343738.9429
Single dose actual vs Double dose,2096.0000,278555.7695,208305.7350,345054.4539
Single dose actual vs Double dose,2097.0000,279046.8059,208039.8826,346486.9548
Single dose actual vs Double dose,2098.0000,279522.9155,207855.1121,347602.7784
Single dose actual vs Double dose,2099.0000,279726.5376,207810.8503,348493.7126
Single dose actual vs Double dose,2100.0000,280058.6675,207650.6072,349360.6967
Single dose actual vs Double dose,2101.0000,280235.3034,207364.1884,349979.3201
Single dose actual vs Double dose,2102.0000,280426.8276,207196.7774,350722.4196
Single dose actual vs Double dose,2103.0000,280677.0602,206983.4511,351295.5976
Single dose actual vs Double dose,2104.0000,280953.9604,206860.5142,351875.5276
Single dose actual vs Double dose,2105.0000,281049.2480,206652.8237,352389.5896
Single dose actual vs Double dose,2106.0000,281119.6740,206506.5316,352727.9861
Single dose actual vs Double dose,2107.0000,281223.7167,206367.1732,353018.8369
Single dose actual vs Double dose,2108.0000,281283.8502,206262.7786,353393.9972
Single dose actual vs Double dose,2109.0000,281351.9097,206187.2387,353634.4989
Single dose actual vs Double dose,2110.0000,281438.6240,206096.3774,353868.9070
Single dose actual vs Double dose,2111.0000,281499.6728,206038.9147,354004.0607
Single dose actual vs Double dose,2112.0000,281533.1183,205875.1277,354122.6788
Single dose actual vs Double dose,2113.0000,281543.1920,205816.0337,354180.7211
Single dose actual vs Double dose,2114.0000,281540.3944,205786.5600,354273.6849
Single dose actual vs Double dose,2115.0000,281530.6319,205764.3043,354299.6219
Single dose actual vs Double dose,2116.0000,281530.6319,205764.3043,354299.6219
Single dose actual vs Double dose,2117.0000,281530.6319,205764.3043,354299.6219
Single dose actual vs Double dose,2118.0000,281530.6319,205764.3043,354299.6219
Single dose actual vs Double dose,2119.0000,281530.6319,205764.3043,354299.6219
Single dose actual vs Double dose,2120.0000,281530.6319,205764.3043,354299.6219
Single dose actual vs Double dose,2121.0000,281530.6319,205764.3043,354299.6219
Single dose actual vs Double dose,2122.0000,281530.6319,205764.3043,354299.6219
Single dose actual vs Double dose,2123.0000,281530.6319,205764.3043,354299.6219
Single dose actual vs Double dose,2124.0000,281530.6319,205764.3043,354299.6219
Single dose actual vs Double dose,2125.0000,281530.6319,205764.3043,354299.6219
