comparison,year,cum_med,cum_lb,cum_ub
Single dose shipments vs Double dose,2024.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2025.0000,0.0000,-0.6658,0.6647
Single dose shipments vs Double dose,2026.0000,5.3769,-6.1978,14.5151
Single dose shipments vs Double dose,2027.0000,8.6153,-36.8999,36.9203
Single dose shipments vs Double dose,2028.0000,10.1101,-74.1871,77.9512
Single dose shipments vs Double dose,2029.0000,16.7190,-156.0930,174.8248
Single dose shipments vs Double dose,2030.0000,18.7969,-237.7113,267.4019
Single dose shipments vs Double dose,2031.0000,52.9201,-323.2549,424.0637
Single dose shipments vs Double dose,2032.0000,193.2930,-342.2281,692.2223
Single dose shipments vs Double dose,2033.0000,426.2233,-340.2928,998.5272
Single dose shipments vs Double dose,2034.0000,583.2331,-433.3642,1450.9539
Single dose shipments vs Double dose,2035.0000,904.2959,-329.3844,2083.5758
Single dose shipments vs Double dose,2036.0000,1356.2096,-130.2144,2958.1521
Single dose shipments vs Double dose,2037.0000,2072.1471,263.8110,3941.5828
Single dose shipments vs Double dose,2038.0000,2958.8152,805.4740,5361.8149
Single dose shipments vs Double dose,2039.0000,4011.2449,1531.8592,7292.8940
Single dose shipments vs Double dose,2040.0000,5592.1206,2550.9251,9353.4279
Single dose shipments vs Double dose,2041.0000,7611.6844,3898.3849,11765.0530
Single dose shipments vs Double dose,2042.0000,10101.6190,5698.3462,14807.6199
Single dose shipments vs Double dose,2043.0000,12595.8799,7525.1919,17693.3360
Single dose shipments vs Double dose,2044.0000,15317.0724,9561.6136,21220.0540
Single dose shipments vs Double dose,2045.0000,18745.0018,12036.1744,25578.1520
Single dose shipments vs Double dose,2046.0000,22766.7977,14612.2786,30266.7810
Single dose shipments vs Double dose,2047.0000,27377.9330,17955.4688,35398.1182
Single dose shipments vs Double dose,2048.0000,32607.3329,21864.9416,41463.1812
Single dose shipments vs Double dose,2049.0000,37858.5502,26159.6891,48082.6983
Single dose shipments vs Double dose,2050.0000,43810.7851,31010.8023,54811.4616
Single dose shipments vs Double dose,2051.0000,49688.2402,35722.2008,61967.4216
Single dose shipments vs Double dose,2052.0000,56636.5701,41554.5405,69768.3442
Single dose shipments vs Double dose,2053.0000,63872.9424,47857.8431,78371.2593
Single dose shipments vs Double dose,2054.0000,71743.4855,54591.1283,86940.1094
Single dose shipments vs Double dose,2055.0000,80085.4982,61259.8914,96300.0089
Single dose shipments vs Double dose,2056.0000,88818.1278,68357.3175,106651.8928
Single dose shipments vs Double dose,2057.0000,97774.1700,76344.4878,117035.1637
Single dose shipments vs Double dose,2058.0000,106846.7562,84204.3377,127227.2473
Single dose shipments vs Double dose,2059.0000,116844.5033,92498.5329,138053.1051
Single dose shipments vs Double dose,2060.0000,126714.1721,101269.3628,149762.2377
Single dose shipments vs Double dose,2061.0000,136970.4178,110765.2065,162528.5597
Single dose shipments vs Double dose,2062.0000,147968.4774,119743.6454,174435.6100
Single dose shipments vs Double dose,2063.0000,158583.9282,129079.1182,187297.7828
Single dose shipments vs Double dose,2064.0000,170187.5730,138742.4717,200289.2344
Single dose shipments vs Double dose,2065.0000,181858.5850,148824.2040,213211.6096
Single dose shipments vs Double dose,2066.0000,192930.0209,157708.7048,225525.2427
Single dose shipments vs Double dose,2067.0000,204118.3401,167602.4660,238112.2686
Single dose shipments vs Double dose,2068.0000,214362.7292,176191.2855,249844.8063
Single dose shipments vs Double dose,2069.0000,225027.7908,184484.9111,261968.8056
Single dose shipments vs Double dose,2070.0000,235406.1814,192987.1491,273344.6927
Single dose shipments vs Double dose,2071.0000,245647.4272,201099.8803,285220.7046
Single dose shipments vs Double dose,2072.0000,255348.1496,210107.0713,296796.8772
Single dose shipments vs Double dose,2073.0000,265069.3322,218183.9295,308084.0301
Single dose shipments vs Double dose,2074.0000,274412.9148,226834.6604,318709.3655
Single dose shipments vs Double dose,2075.0000,283082.9911,234047.7548,328857.3640
Single dose shipments vs Double dose,2076.0000,291563.1349,240765.4157,338885.3568
Single dose shipments vs Double dose,2077.0000,299422.1566,247598.3585,349403.1774
Single dose shipments vs Double dose,2078.0000,307201.9087,254199.3399,358379.8580
Single dose shipments vs Double dose,2079.0000,314901.2872,260784.8121,366564.1527
Single dose shipments vs Double dose,2080.0000,321424.5265,266303.8223,374974.2488
Single dose shipments vs Double dose,2081.0000,327265.1703,270971.8414,382349.5249
Single dose shipments vs Double dose,2082.0000,332917.6831,275642.5594,389233.3125
Single dose shipments vs Double dose,2083.0000,338217.3904,279936.9828,395900.1898
Single dose shipments vs Double dose,2084.0000,343229.5633,283802.6911,401857.6016
Single dose shipments vs Double dose,2085.0000,347566.7459,287130.7561,407417.1114
Single dose shipments vs Double dose,2086.0000,351867.8551,290438.8930,412423.4008
Single dose shipments vs Double dose,2087.0000,356123.8811,293548.0577,417472.4953
Single dose shipments vs Double dose,2088.0000,360243.0954,296675.2068,422564.3710
Single dose shipments vs Double dose,2089.0000,363567.8079,298987.9293,426430.0196
Single dose shipments vs Double dose,2090.0000,366344.0989,301010.5960,430520.4665
Single dose shipments vs Double dose,2091.0000,368781.9571,302837.6532,434139.3105
Single dose shipments vs Double dose,2092.0000,371132.7993,304166.9772,437409.3760
Single dose shipments vs Double dose,2093.0000,373577.2864,305641.3026,440548.9184
Single dose shipments vs Double dose,2094.0000,375647.3016,306821.6181,443172.7790
Single dose shipments vs Double dose,2095.0000,377164.7874,307847.1328,445375.0256
Single dose shipments vs Double dose,2096.0000,378817.4781,309002.7803,447614.3035
Single dose shipments vs Double dose,2097.0000,380316.4544,309592.7231,449665.5558
Single dose shipments vs Double dose,2098.0000,381544.7884,310470.9025,451351.3677
Single dose shipments vs Double dose,2099.0000,382447.6195,310818.4734,452891.5901
Single dose shipments vs Double dose,2100.0000,383400.2113,311337.7220,454162.4463
Single dose shipments vs Double dose,2101.0000,384082.3067,311647.9530,455365.0333
Single dose shipments vs Double dose,2102.0000,384667.6939,311908.4910,456500.5184
Single dose shipments vs Double dose,2103.0000,385174.7066,311915.2877,457474.7172
Single dose shipments vs Double dose,2104.0000,385857.8528,312063.0055,458407.4190
Single dose shipments vs Double dose,2105.0000,386198.6528,312092.5782,458978.8458
Single dose shipments vs Double dose,2106.0000,386462.8670,312202.0893,459524.9332
Single dose shipments vs Double dose,2107.0000,386678.4557,312277.9525,459909.9491
Single dose shipments vs Double dose,2108.0000,386871.4671,312270.8753,460271.3572
Single dose shipments vs Double dose,2109.0000,387055.8611,312306.1468,460638.4971
Single dose shipments vs Double dose,2110.0000,387185.3293,312284.0380,460966.2334
Single dose shipments vs Double dose,2111.0000,387285.5639,312246.2253,461142.6968
Single dose shipments vs Double dose,2112.0000,387328.8869,312150.2619,461281.0669
Single dose shipments vs Double dose,2113.0000,387343.0499,312052.0641,461353.8552
Single dose shipments vs Double dose,2114.0000,387349.7365,312006.9139,461445.9527
Single dose shipments vs Double dose,2115.0000,387349.7365,311991.9666,461465.2587
Single dose shipments vs Double dose,2116.0000,387349.7365,311991.9666,461465.2587
Single dose shipments vs Double dose,2117.0000,387349.7365,311991.9666,461465.2587
Single dose shipments vs Double dose,2118.0000,387349.7365,311991.9666,461465.2587
Single dose shipments vs Double dose,2119.0000,387349.7365,311991.9666,461465.2587
Single dose shipments vs Double dose,2120.0000,387349.7365,311991.9666,461465.2587
Single dose shipments vs Double dose,2121.0000,387349.7365,311991.9666,461465.2587
Single dose shipments vs Double dose,2122.0000,387349.7365,311991.9666,461465.2587
Single dose shipments vs Double dose,2123.0000,387349.7365,311991.9666,461465.2587
Single dose shipments vs Double dose,2124.0000,387349.7365,311991.9666,461465.2587
Single dose shipments vs Double dose,2125.0000,387349.7365,311991.9666,461465.2587
Single dose actual vs Double dose,2024.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2025.0000,0.0000,0.0000,0.8898
Single dose actual vs Double dose,2026.0000,5.1806,0.0000,14.7402
Single dose actual vs Double dose,2027.0000,8.4883,-11.5943,70.9438
Single dose actual vs Double dose,2028.0000,11.5649,-44.9834,119.4472
Single dose actual vs Double dose,2029.0000,20.2337,-124.7115,203.9117
Single dose actual vs Double dose,2030.0000,32.0886,-171.8745,344.8275
Single dose actual vs Double dose,2031.0000,53.6938,-267.6589,475.1069
Single dose actual vs Double dose,2032.0000,172.4856,-364.1099,741.7440
Single dose actual vs Double dose,2033.0000,313.9270,-506.4460,1017.7580
Single dose actual vs Double dose,2034.0000,478.1237,-569.4555,1293.4649
Single dose actual vs Double dose,2035.0000,795.0927,-560.3835,2004.7870
Single dose actual vs Double dose,2036.0000,1155.2631,-540.0113,2738.3514
Single dose actual vs Double dose,2037.0000,1722.8683,-346.6750,3539.5839
Single dose actual vs Double dose,2038.0000,2370.5254,-123.1958,4617.1365
Single dose actual vs Double dose,2039.0000,3128.4244,244.5798,6168.8593
Single dose actual vs Double dose,2040.0000,4289.8005,635.7066,7965.7190
Single dose actual vs Double dose,2041.0000,5894.8665,1584.3499,10118.1572
Single dose actual vs Double dose,2042.0000,7607.2145,2762.5635,12537.4751
Single dose actual vs Double dose,2043.0000,9505.1764,3978.1209,15094.7773
Single dose actual vs Double dose,2044.0000,12032.1658,5635.6992,18355.1046
Single dose actual vs Double dose,2045.0000,14379.5675,7450.3878,21766.8319
Single dose actual vs Double dose,2046.0000,17303.3864,9666.7451,25302.4923
Single dose actual vs Double dose,2047.0000,20678.6788,12348.7333,29595.7718
Single dose actual vs Double dose,2048.0000,24441.3303,15240.5098,34423.0925
Single dose actual vs Double dose,2049.0000,28937.9386,18333.5723,39866.9678
Single dose actual vs Double dose,2050.0000,33448.6009,21978.0360,45573.7143
Single dose actual vs Double dose,2051.0000,38298.2839,25609.5722,51337.0347
Single dose actual vs Double dose,2052.0000,43943.2326,29775.9569,57855.9873
Single dose actual vs Double dose,2053.0000,49461.7904,34492.8565,64779.1717
Single dose actual vs Double dose,2054.0000,55593.4483,39770.1874,72241.4532
