scenario,year,cum_med,cum_lb,cum_ub
No vaccination,2024.0000,0.0000,0.0000,6.6580
No vaccination,2025.0000,2.2510,0.0000,13.5411
No vaccination,2026.0000,13.5872,0.0000,33.5276
No vaccination,2027.0000,61.5103,13.2711,113.1797
No vaccination,2028.0000,122.0113,54.4925,242.6264
No vaccination,2029.0000,256.2988,130.2874,422.5332
No vaccination,2030.0000,471.0258,287.1095,703.9820
No vaccination,2031.0000,851.1431,550.3867,1280.8687
No vaccination,2032.0000,1489.2654,1032.0967,2063.0056
No vaccination,2033.0000,2368.2739,1769.2505,3055.4600
No vaccination,2034.0000,3712.5385,2737.2229,4589.1289
No vaccination,2035.0000,5564.0846,4235.2985,6550.1942
No vaccination,2036.0000,7996.0504,6290.3971,9288.8581
No vaccination,2037.0000,11305.2707,9246.7833,13035.2821
No vaccination,2038.0000,15465.7005,12767.0079,17626.1181
No vaccination,2039.0000,20629.7582,17505.7335,23259.2930
No vaccination,2040.0000,26966.1190,23467.6437,29927.8372
No vaccination,2041.0000,34573.6618,30548.9328,38075.4071
No vaccination,2042.0000,43482.4600,39119.7300,47745.9190
No vaccination,2043.0000,54173.5085,49056.0401,58899.6765
No vaccination,2044.0000,66346.0895,60685.3172,71578.4009
No vaccination,2045.0000,80162.1128,73715.4509,86605.6783
No vaccination,2046.0000,95650.2412,88317.7697,102725.3184
No vaccination,2047.0000,113253.5618,104528.0563,120816.6482
No vaccination,2048.0000,132268.4657,122201.1778,140798.3221
No vaccination,2049.0000,153285.8888,142237.8640,162758.4708
No vaccination,2050.0000,176289.4131,164079.4838,186650.6165
No vaccination,2051.0000,201483.4314,187374.1545,212989.2479
No vaccination,2052.0000,228504.4367,213105.4332,240858.6025
No vaccination,2053.0000,256716.3158,240631.7224,270409.3786
No vaccination,2054.0000,287446.0264,270156.7254,302768.0571
No vaccination,2055.0000,319843.0729,301135.2655,336605.1912
No vaccination,2056.0000,353993.2234,334467.0599,372510.1733
No vaccination,2057.0000,390163.5774,368823.6982,409687.5017
No vaccination,2058.0000,427876.3156,405486.4575,448817.4399
No vaccination,2059.0000,467407.2894,443993.0245,489724.4334
No vaccination,2060.0000,508807.9771,483602.7969,532830.7087
No vaccination,2061.0000,551468.4780,525359.2362,577513.7025
No vaccination,2062.0000,595116.9272,568256.0516,622093.2661
No vaccination,2063.0000,640243.1519,612405.2489,667944.9508
No vaccination,2064.0000,685925.9723,656151.3096,714593.8679
No vaccination,2065.0000,731769.6056,699981.4132,761667.6253
No vaccination,2066.0000,777915.4006,744512.6711,808977.1615
No vaccination,2067.0000,824617.7785,790389.2794,856949.5032
No vaccination,2068.0000,870438.6407,835098.7325,904422.0664
No vaccination,2069.0000,915700.7411,878969.1209,951352.1752
No vaccination,2070.0000,960776.6904,923077.1686,997908.9023
No vaccination,2071.0000,1005030.2150,966374.6148,1044194.2116
No vaccination,2072.0000,1048444.4185,1008834.9021,1089588.3672
No vaccination,2073.0000,1090446.3965,1049024.4900,1132828.0306
No vaccination,2074.0000,1130761.0448,1088553.4762,1174532.6788
No vaccination,2075.0000,1170622.6010,1126854.0588,1215512.6285
No vaccination,2076.0000,1208835.5367,1164091.7877,1255604.5018
No vaccination,2077.0000,1244984.8360,1199121.3580,1292904.6978
No vaccination,2078.0000,1279882.0122,1232969.3462,1328969.6813
No vaccination,2079.0000,1312900.6844,1264808.7927,1363296.0376
No vaccination,2080.0000,1344139.7291,1294905.2984,1395805.3542
No vaccination,2081.0000,1373101.4866,1322965.7048,1426173.5697
No vaccination,2082.0000,1400619.9639,1349596.9791,1454897.9214
No vaccination,2083.0000,1426451.1760,1374559.9371,1481941.6600
No vaccination,2084.0000,1450832.9814,1397838.8266,1507528.5751
No vaccination,2085.0000,1473862.5824,1420078.8154,1531163.1921
No vaccination,2086.0000,1494875.2009,1440310.2021,1553264.9820
No vaccination,2087.0000,1514215.4205,1458815.1022,1573501.7763
No vaccination,2088.0000,1532198.0542,1476357.2654,1591901.3235
No vaccination,2089.0000,1548523.3180,1492357.9504,1609301.4970
No vaccination,2090.0000,1563433.9598,1506816.7534,1624980.7663
No vaccination,2091.0000,1577123.1216,1519787.5033,1639433.4808
No vaccination,2092.0000,1589515.0349,1531722.8776,1652888.7442
No vaccination,2093.0000,1600917.5039,1542217.5555,1664874.5876
No vaccination,2094.0000,1610961.2490,1551548.9335,1675497.4549
No vaccination,2095.0000,1619885.9856,1560246.2988,1685171.4595
No vaccination,2096.0000,1627867.8651,1567619.8638,1693644.7240
No vaccination,2097.0000,1635129.0969,1574233.9958,1701425.4961
No vaccination,2098.0000,1641330.9668,1579813.9475,1707883.1702
No vaccination,2099.0000,1646772.2973,1584593.5268,1713800.5210
No vaccination,2100.0000,1651143.7603,1588656.7607,1718686.7887
No vaccination,2101.0000,1655032.0965,1592290.2258,1722790.2179
No vaccination,2102.0000,1658377.6839,1595214.8900,1726478.9658
No vaccination,2103.0000,1661234.9622,1597789.0368,1729712.8253
No vaccination,2104.0000,1663414.1723,1599732.0811,1732210.0733
No vaccination,2105.0000,1665234.6601,1601350.1715,1734400.4483
No vaccination,2106.0000,1666670.1986,1602419.5587,1736182.0422
No vaccination,2107.0000,1667786.7393,1603348.2941,1737539.3570
No vaccination,2108.0000,1668660.9598,1604086.8139,1738611.1866
No vaccination,2109.0000,1669371.0136,1604622.0674,1739462.9369
No vaccination,2110.0000,1669824.1717,1604955.4816,1740059.5468
No vaccination,2111.0000,1670138.7040,1605185.1305,1740483.1086
No vaccination,2112.0000,1670359.1941,1605358.9733,1740800.0093
No vaccination,2113.0000,1670490.1494,1605437.9149,1741004.2120
No vaccination,2114.0000,1670553.5844,1605441.3729,1741128.9747
No vaccination,2115.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2116.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2117.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2118.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2119.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2120.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2121.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2122.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2123.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2124.0000,1670571.1592,1605441.3729,1741192.4523
No vaccination,2125.0000,1670571.1592,1605441.3729,1741192.4523
Double dose,2024.0000,0.0000,0.0000,6.6580
Double dose,2025.0000,1.5182,0.0000,15.1699
Double dose,2026.0000,9.0559,5.3014,36.7062
Double dose,2027.0000,35.0234,16.8779,146.7673
Double dose,2028.0000,83.2513,35.8957,241.8204
Double dose,2029.0000,179.8180,107.9101,419.3467
Double dose,2030.0000,371.5508,265.3652,764.5595
Double dose,2031.0000,685.5771,489.8386,1177.1359
Double dose,2032.0000,1219.2874,917.8671,1791.9871
Double dose,2033.0000,1978.6726,1602.0454,2715.0668
Double dose,2034.0000,3025.6110,2505.1635,3953.8687
Double dose,2035.0000,4584.0265,3834.3114,5724.0387
Double dose,2036.0000,6662.0497,5477.4645,7997.1368
Double dose,2037.0000,9284.7876,7668.8838,10834.8769
Double dose,2038.0000,12588.8409,10655.9872,14459.0830
Double dose,2039.0000,16674.6695,14446.8501,19181.8356
Double dose,2040.0000,21632.9067,18958.7658,24549.2338
Double dose,2041.0000,27573.3868,24357.0040,30996.9525
Double dose,2042.0000,34632.9201,30986.6674,38642.0433
Double dose,2043.0000,42588.6172,38296.3875,47314.5509
Double dose,2044.0000,51715.6655,46782.5736,56988.3755
Double dose,2045.0000,61878.1144,56479.0940,68001.0494
Double dose,2046.0000,73403.2681,67372.2357,80090.8368
Double dose,2047.0000,86360.5188,79492.2597,93523.3595
Double dose,2048.0000,100751.4354,93107.2981,108903.8741
Double dose,2049.0000,116349.5980,107874.8154,125489.5439
Double dose,2050.0000,133366.6521,124028.7770,143020.2601
Double dose,2051.0000,151544.4203,141187.9300,161620.4860
Double dose,2052.0000,171115.1079,159856.9016,182208.2673
Double dose,2053.0000,192040.7869,179964.6375,204325.7641
Double dose,2054.0000,214371.7412,201272.6886,227731.5935
Double dose,2055.0000,237951.1324,224224.3756,252408.4924
Double dose,2056.0000,263351.4860,248340.8111,278735.4150
Double dose,2057.0000,289636.6614,273513.9266,306118.7664
Double dose,2058.0000,317058.7910,299796.9223,334768.9271
Double dose,2059.0000,346228.9051,327333.6012,364837.9677
Double dose,2060.0000,376084.7076,356331.9517,395491.7093
Double dose,2061.0000,407678.8007,386418.6931,428101.6042
Double dose,2062.0000,439917.9212,417518.4093,461166.0644
Double dose,2063.0000,472697.8222,449242.1088,495798.7720
Double dose,2064.0000,506687.5236,481976.6887,530722.3276
Double dose,2065.0000,540981.1597,514771.1757,566075.5656
Double dose,2066.0000,574931.3640,547302.6114,601255.8114
Double dose,2067.0000,609380.2440,580742.1527,636971.5209
Double dose,2068.0000,643243.3658,613393.3917,671478.1490
Double dose,2069.0000,677432.4169,646046.0784,706508.9806
Double dose,2070.0000,710942.1794,678223.9206,740870.0516
Double dose,2071.0000,744118.1105,709417.2589,775320.3330
Double dose,2072.0000,776427.1953,741170.7725,809437.1685
Double dose,2073.0000,807780.3438,771437.3578,842226.6002
Double dose,2074.0000,838944.6811,801390.7231,874511.8279
Double dose,2075.0000,868576.7953,830056.4515,905506.8679
Double dose,2076.0000,897541.3922,857588.9783,935239.6835
Double dose,2077.0000,925335.7414,884578.2505,964333.8792
Double dose,2078.0000,951761.1265,910387.5548,991789.4074
Double dose,2079.0000,977225.1176,935042.5045,1018126.5346
Double dose,2080.0000,1001093.9368,958019.9998,1042895.5444
Double dose,2081.0000,1023685.8093,979655.1267,1066323.5132
Double dose,2082.0000,1045162.9567,1000501.0393,1088533.2202
Double dose,2083.0000,1065453.2590,1019760.0274,1109811.5675
Double dose,2084.0000,1084404.9792,1038089.0975,1129769.7373
Double dose,2085.0000,1102221.2646,1054859.8110,1148365.9106
Double dose,2086.0000,1118924.7105,1070619.2813,1165869.2510
Double dose,2087.0000,1134425.7213,1085071.3022,1182137.8875
Double dose,2088.0000,1148968.6726,1098872.6413,1197378.4787
Double dose,2089.0000,1161997.5930,1111521.6822,1211127.3598
Double dose,2090.0000,1174225.8807,1122990.1360,1223897.4797
Double dose,2091.0000,1185143.3929,1133191.2464,1235503.5124
Double dose,2092.0000,1194873.2646,1142487.1198,1246174.7556
Double dose,2093.0000,1203898.1191,1151168.4470,1255980.2655
Double dose,2094.0000,1212058.0606,1158936.9479,1264610.4547
Double dose,2095.0000,1218956.9936,1165294.9366,1272139.3107
Double dose,2096.0000,1225526.8031,1171302.2614,1279296.4300
Double dose,2097.0000,1231241.6560,1176436.8736,1285570.9398
Double dose,2098.0000,1236186.3313,1181007.8200,1290905.9169
Double dose,2099.0000,1240380.9399,1184866.7718,1295632.1928
Double dose,2100.0000,1243972.4022,1188248.4892,1299561.7378
Double dose,2101.0000,1247099.4298,1190982.0364,1302911.9258
Double dose,2102.0000,1249826.8500,1193286.7084,1305967.6127
Double dose,2103.0000,1252066.8941,1195152.9036,1308596.4588
Double dose,2104.0000,1254039.6680,1196773.2760,1310774.2873
Double dose,2105.0000,1255422.7919,1197917.8540,1312450.0905
