comparison,year,cum_med,cum_lb,cum_ub
Single dose shipments vs Double dose,2107.0000,303267.3617,153337.4296,453197.2938
Single dose shipments vs Double dose,2108.0000,303267.3617,153337.4296,453197.2938
Single dose shipments vs Double dose,2109.0000,305822.9856,155211.5538,456434.4174
Single dose shipments vs Double dose,2110.0000,307526.7349,156915.3030,458138.1667
Single dose shipments vs Double dose,2111.0000,309230.4841,157256.0529,461204.9154
Single dose shipments vs Double dose,2112.0000,309230.4841,157256.0529,461204.9154
Single dose shipments vs Double dose,2113.0000,309230.4841,157256.0529,461204.9154
Single dose shipments vs Double dose,2114.0000,309230.4841,157256.0529,461204.9154
Single dose shipments vs Double dose,2115.0000,309230.4841,157256.0529,461204.9154
Single dose shipments vs Double dose,2116.0000,309230.4841,157256.0529,461204.9154
Single dose shipments vs Double dose,2117.0000,309230.4841,157256.0529,461204.9154
Single dose shipments vs Double dose,2118.0000,309230.4841,157256.0529,461204.9154
Single dose shipments vs Double dose,2119.0000,309230.4841,157256.0529,461204.9154
Single dose shipments vs Double dose,2120.0000,309230.4841,157256.0529,461204.9154
Single dose shipments vs Double dose,2121.0000,309230.4841,157256.0529,461204.9154
Single dose shipments vs Double dose,2122.0000,309230.4841,157256.0529,461204.9154
Single dose shipments vs Double dose,2123.0000,309230.4841,157256.0529,461204.9154
Single dose shipments vs Double dose,2124.0000,309230.4841,157256.0529,461204.9154
Single dose shipments vs Double dose,2125.0000,309230.4841,157256.0529,461204.9154
Single dose actual vs Double dose,2024.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2025.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2026.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2027.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2028.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2029.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2030.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2031.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2032.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2033.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2034.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2035.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2036.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2037.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2038.0000,-1703.7493,-1703.7493,-1703.7493
Single dose actual vs Double dose,2039.0000,-1703.7493,-1703.7493,-1703.7493
Single dose actual vs Double dose,2040.0000,-2555.6239,-3237.1236,-1874.1242
Single dose actual vs Double dose,2041.0000,-2555.6239,-3237.1236,-1874.1242
Single dose actual vs Double dose,2042.0000,-2555.6239,-3237.1236,-1874.1242
Single dose actual vs Double dose,2043.0000,-2555.6239,-3237.1236,-1874.1242
Single dose actual vs Double dose,2044.0000,851.8746,170.3749,1533.3743
Single dose actual vs Double dose,2045.0000,851.8746,170.3749,1533.3743
Single dose actual vs Double dose,2046.0000,2555.6239,511.1248,4600.1230
Single dose actual vs Double dose,2047.0000,0.0000,-2725.9988,2725.9988
Single dose actual vs Double dose,2048.0000,1703.7493,-2385.2490,5792.7475
Single dose actual vs Double dose,2049.0000,0.0001,-5451.9976,5451.9979
Single dose actual vs Double dose,2050.0000,3407.4987,-3407.4985,10222.4958
Single dose actual vs Double dose,2051.0000,7666.8719,170.3750,15163.3689
Single dose actual vs Double dose,2052.0000,10222.4960,2044.4994,18400.4926
Single dose actual vs Double dose,2053.0000,5111.2480,-4429.7480,14652.2441
Single dose actual vs Double dose,2054.0000,6814.9973,-4088.9982,17718.9928
Single dose actual vs Double dose,2055.0000,11926.2452,-1703.7492,25556.2397
Single dose actual vs Double dose,2056.0000,15333.7438,-1022.2495,31689.7370
Single dose actual vs Double dose,2057.0000,7666.8724,-10733.6197,26067.3645
Single dose actual vs Double dose,2058.0000,11074.3711,-10052.1199,32200.8621
Single dose actual vs Double dose,2059.0000,15333.7441,-11926.2441,42593.7324
Single dose actual vs Double dose,2060.0000,17889.3683,-10052.1199,45830.8565
Single dose actual vs Double dose,2061.0000,15333.7443,-18741.2412,49408.7297
Single dose actual vs Double dose,2062.0000,11926.2455,-23511.7396,47364.2305
Single dose actual vs Double dose,2063.0000,11926.2456,-26237.7384,50090.2296
Single dose actual vs Double dose,2064.0000,11074.3710,-27771.1129,49919.8549
Single dose actual vs Double dose,2065.0000,11926.2457,-33052.7354,56905.2269
Single dose actual vs Double dose,2066.0000,17037.4932,-34756.4844,68831.4707
Single dose actual vs Double dose,2067.0000,35778.7335,-24193.2398,95750.7069
Single dose actual vs Double dose,2068.0000,38334.3573,-27771.1135,104439.8281
Single dose actual vs Double dose,2069.0000,41741.8555,-25726.6146,109210.3256
Single dose actual vs Double dose,2070.0000,52816.2250,-15333.7448,120966.1948
Single dose actual vs Double dose,2071.0000,59631.2217,-13970.7455,133233.1889
Single dose actual vs Double dose,2072.0000,67298.0920,-9711.3730,144307.5571
Single dose actual vs Double dose,2073.0000,74113.0886,-12437.3711,160663.5484
Single dose actual vs Double dose,2074.0000,86039.3324,-5963.1251,178041.7899
Single dose actual vs Double dose,2075.0000,90298.7050,-13289.2471,193886.6570
Single dose actual vs Double dose,2076.0000,90298.7045,-20104.2447,200701.6536
Single dose actual vs Double dose,2077.0000,87743.0807,-26067.3667,201553.5281
Single dose actual vs Double dose,2078.0000,99669.3246,-16867.1216,216205.7708
Single dose actual vs Double dose,2079.0000,103076.8230,-13459.6235,219613.2695
Single dose actual vs Double dose,2080.0000,113299.3179,-3237.1286,229835.7644
Single dose actual vs Double dose,2081.0000,115854.9419,-8178.0011,239887.8849
Single dose actual vs Double dose,2082.0000,108188.0703,-19252.3707,235628.5113
Single dose actual vs Double dose,2083.0000,117558.6914,-13289.2480,248406.6309
Single dose actual vs Double dose,2084.0000,123521.8138,-8007.6249,255051.2526
Single dose actual vs Double dose,2085.0000,127781.1868,-7155.7498,262718.1233
Single dose actual vs Double dose,2086.0000,132892.4341,-7496.4999,273281.3681
Single dose actual vs Double dose,2087.0000,134596.1832,-8518.7497,277711.1161
Single dose actual vs Double dose,2088.0000,141411.1805,-7155.7496,289978.1107
Single dose actual vs Double dose,2089.0000,136299.9325,-16355.9961,288955.8611
Single dose actual vs Double dose,2090.0000,141411.1803,-13970.7469,296793.1075
Single dose actual vs Double dose,2091.0000,149078.0519,-6985.3750,305141.4787
Single dose actual vs Double dose,2092.0000,152485.5505,-3577.8764,308548.9775
Single dose actual vs Double dose,2093.0000,157596.7987,-1192.6272,316386.2246
Single dose actual vs Double dose,2094.0000,159300.5480,511.1219,318089.9740
Single dose actual vs Double dose,2095.0000,170374.9182,10903.9922,329845.8442
Single dose actual vs Double dose,2096.0000,172930.5420,12778.1162,333082.9678
Single dose actual vs Double dose,2097.0000,180597.4138,19763.4882,341431.3394
Single dose actual vs Double dose,2098.0000,177189.9153,13629.9909,340749.8397
Single dose actual vs Double dose,2099.0000,179745.5393,15504.1151,343986.9635
Single dose actual vs Double dose,2100.0000,184004.9125,17718.9891,350290.8358
Single dose actual vs Double dose,2101.0000,186560.5364,18230.1139,354890.9588
Single dose actual vs Double dose,2102.0000,191671.7843,23341.3617,360002.2069
Single dose actual vs Double dose,2103.0000,192523.6589,23511.7367,361535.5812
Single dose actual vs Double dose,2104.0000,193375.5336,23682.1116,363068.9555
Single dose actual vs Double dose,2105.0000,195931.1576,25556.2358,366306.0794
Single dose actual vs Double dose,2106.0000,195079.2830,24022.8615,366135.7044
Single dose actual vs Double dose,2107.0000,195079.2830,22659.8621,367498.7039
Single dose actual vs Double dose,2108.0000,193375.5337,19593.1134,367157.9540
Single dose actual vs Double dose,2109.0000,195079.2830,21296.8626,368861.7033
Single dose actual vs Double dose,2110.0000,196783.0322,23000.6119,370565.4525
Single dose actual vs Double dose,2111.0000,197634.9069,23170.9868,372098.8269
Single dose actual vs Double dose,2112.0000,196783.0322,21637.6125,371928.4520
Single dose actual vs Double dose,2113.0000,196783.0322,21637.6125,371928.4520
Single dose actual vs Double dose,2114.0000,196783.0322,21637.6125,371928.4520
Single dose actual vs Double dose,2115.0000,196783.0322,21637.6125,371928.4520
Single dose actual vs Double dose,2116.0000,196783.0322,21637.6125,371928.4520
Single dose actual vs Double dose,2117.0000,196783.0322,21637.6125,371928.4520
Single dose actual vs Double dose,2118.0000,196783.0322,21637.6125,371928.4520
Single dose actual vs Double dose,2119.0000,196783.0322,21637.6125,371928.4520
Single dose actual vs Double dose,2120.0000,196783.0322,21637.6125,371928.4520
Single dose actual vs Double dose,2121.0000,196783.0322,21637.6125,371928.4520
Single dose actual vs Double dose,2122.0000,196783.0322,21637.6125,371928.4520
Single dose actual vs Double dose,2123.0000,196783.0322,21637.6125,371928.4520
Single dose actual vs Double dose,2124.0000,196783.0322,21637.6125,371928.4520
Single dose actual vs Double dose,2125.0000,196783.0322,21637.6125,371928.4520
