comparison,year,cum_med,cum_lb,cum_ub
Single dose shipments vs Double dose,2024.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2025.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2026.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2027.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2028.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2029.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2030.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2031.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2032.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2033.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2034.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2035.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2036.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2037.0000,851.8746,170.3749,1533.3743
Single dose shipments vs Double dose,2038.0000,0.0000,-1362.9994,1362.9994
Single dose shipments vs Double dose,2039.0000,851.8746,-1192.6245,2896.3738
Single dose shipments vs Double dose,2040.0000,851.8746,-1192.6245,2896.3738
Single dose shipments vs Double dose,2041.0000,0.0000,-2725.9988,2725.9988
Single dose shipments vs Double dose,2042.0000,-1703.7493,-4429.7481,1022.2496
Single dose shipments vs Double dose,2043.0000,-1703.7493,-4429.7481,1022.2496
Single dose shipments vs Double dose,2044.0000,851.8746,-2555.6239,4259.3732
Single dose shipments vs Double dose,2045.0000,851.8746,-2555.6239,4259.3732
Single dose shipments vs Double dose,2046.0000,2555.6239,-2214.8740,7326.1219
Single dose shipments vs Double dose,2047.0000,851.8746,-5281.6227,6985.3720
Single dose shipments vs Double dose,2048.0000,3407.4985,-3407.4985,10222.4956
Single dose shipments vs Double dose,2049.0000,5963.1226,-1533.3741,13459.6192
Single dose shipments vs Double dose,2050.0000,9370.6211,-851.8744,19593.1166
Single dose shipments vs Double dose,2051.0000,11926.2451,1022.2498,22830.2404
Single dose shipments vs Double dose,2052.0000,11074.3707,-1874.1235,24022.8650
Single dose shipments vs Double dose,2053.0000,2555.6245,-13118.8683,18230.1173
Single dose shipments vs Double dose,2054.0000,0.0006,-19081.9907,19081.9919
Single dose shipments vs Double dose,2055.0000,4259.3739,-15504.1170,24022.8648
Single dose shipments vs Double dose,2056.0000,7666.8724,-14822.6173,30156.3622
Single dose shipments vs Double dose,2057.0000,16185.6189,-9029.8696,41401.1074
Single dose shipments vs Double dose,2058.0000,13629.9952,-13629.9924,40889.9828
Single dose shipments vs Double dose,2059.0000,24704.3654,-8689.1195,58097.8502
Single dose shipments vs Double dose,2060.0000,32371.2372,-1703.7471,66446.2215
Single dose shipments vs Double dose,2061.0000,34926.8610,-3918.6214,73772.3433
Single dose shipments vs Double dose,2062.0000,27259.9894,-14992.9914,69512.9701
Single dose shipments vs Double dose,2063.0000,30667.4882,-11585.4928,72920.4691
Single dose shipments vs Double dose,2064.0000,33223.1123,-11074.3680,77520.5926
Single dose shipments vs Double dose,2065.0000,30667.4888,-17037.4899,78372.4675
Single dose shipments vs Double dose,2066.0000,46001.2319,-7155.7440,99158.2079
Single dose shipments vs Double dose,2067.0000,68149.9708,9540.9977,126758.9440
Single dose shipments vs Double dose,2068.0000,76668.7169,16696.7444,136640.6895
Single dose shipments vs Double dose,2069.0000,84335.5886,19593.1179,149078.0593
Single dose shipments vs Double dose,2070.0000,95409.9579,29985.9875,160833.9283
Single dose shipments vs Double dose,2071.0000,103076.8292,35608.3598,170545.2987
Single dose shipments vs Double dose,2072.0000,110743.7002,37141.7344,184345.6660
Single dose shipments vs Double dose,2073.0000,123521.8187,42423.3569,204620.2805
Single dose shipments vs Double dose,2074.0000,131188.6895,49408.7279,212968.6510
Single dose shipments vs Double dose,2075.0000,140559.3098,51282.8520,229835.7676
Single dose shipments vs Double dose,2076.0000,145670.5575,53668.1008,237673.0142
Single dose shipments vs Double dose,2077.0000,150781.8054,57416.3494,244147.2615
Single dose shipments vs Double dose,2078.0000,166967.4224,72920.4667,261014.3780
Single dose shipments vs Double dose,2079.0000,175486.1678,73261.2156,277711.1201
Single dose shipments vs Double dose,2080.0000,183153.0393,78883.5883,287422.4903
Single dose shipments vs Double dose,2081.0000,189116.1619,84165.2113,294067.1125
Single dose shipments vs Double dose,2082.0000,196783.0334,88424.5844,305141.4825
Single dose shipments vs Double dose,2083.0000,207005.5289,97284.0804,316726.9775
Single dose shipments vs Double dose,2084.0000,217228.0245,104780.5768,329675.4723
Single dose shipments vs Double dose,2085.0000,221487.3970,105632.4513,337342.3427
Single dose shipments vs Double dose,2086.0000,224043.0204,107506.5746,340579.4662
Single dose shipments vs Double dose,2087.0000,229154.2681,112617.8222,345690.7140
Single dose shipments vs Double dose,2088.0000,239376.7639,121477.3190,357276.2088
Single dose shipments vs Double dose,2089.0000,237673.0146,118410.5703,356935.4590
Single dose shipments vs Double dose,2090.0000,243636.1371,122329.1932,364943.0809
Single dose shipments vs Double dose,2091.0000,248747.3845,124714.4419,372780.3271
Single dose shipments vs Double dose,2092.0000,251303.0082,118410.5690,384195.4473
Single dose shipments vs Double dose,2093.0000,260673.6296,127099.6908,394247.5685
Single dose shipments vs Double dose,2094.0000,267488.6266,133914.6876,401062.5656
Single dose shipments vs Double dose,2095.0000,275155.4983,139537.0604,410773.9362
Single dose shipments vs Double dose,2096.0000,279414.8715,143114.9339,415714.8091
Single dose shipments vs Double dose,2097.0000,282822.3701,145159.4330,420485.3072
Single dose shipments vs Double dose,2098.0000,281970.4955,143626.0587,420314.9323
Single dose shipments vs Double dose,2099.0000,285377.9941,144307.5584,426448.4299
Single dose shipments vs Double dose,2100.0000,288785.4927,146352.0575,431218.9278
Single dose shipments vs Double dose,2101.0000,290489.2419,148055.8068,432922.6771
Single dose shipments vs Double dose,2102.0000,295600.4899,151804.0552,439396.9245
Single dose shipments vs Double dose,2103.0000,298156.1138,153678.1794,442634.0481
Single dose shipments vs Double dose,2104.0000,299007.9884,152485.5549,445530.4219
Single dose shipments vs Double dose,2105.0000,302415.4871,154530.0541,450300.9201
Single dose shipments vs Double dose,2106.0000,302415.4871,153167.0546,451663.9195
