location,scenario,year,cum_med,cum_lb,cum_ub
bangladesh,No vaccination,2024,0.0000,0.0000,0.0000
bangladesh,No vaccination,2025,0.0000,0.0000,0.0000
bangladesh,No vaccination,2026,0.0000,0.0000,0.0000
bangladesh,No vaccination,2027,0.0000,0.0000,0.0000
bangladesh,No vaccination,2028,0.0000,0.0000,0.0000
bangladesh,No vaccination,2029,0.0000,0.0000,0.0000
bangladesh,No vaccination,2030,0.0000,0.0000,0.0000
bangladesh,No vaccination,2031,0.0000,0.0000,0.0000
bangladesh,No vaccination,2032,0.0000,0.0000,0.0000
bangladesh,No vaccination,2033,0.0000,0.0000,0.0000
bangladesh,No vaccination,2034,0.0000,0.0000,0.0000
bangladesh,No vaccination,2035,0.0000,0.0000,0.0000
bangladesh,No vaccination,2036,851.8746,170.3749,1533.3743
bangladesh,No vaccination,2037,851.8746,170.3749,1533.3743
bangladesh,No vaccination,2038,851.8746,170.3749,1533.3743
bangladesh,No vaccination,2039,2555.6239,511.1248,4600.1230
bangladesh,No vaccination,2040,2555.6239,511.1248,4600.1230
bangladesh,No vaccination,2041,2555.6239,511.1248,4600.1230
bangladesh,No vaccination,2042,3407.4985,681.4997,6133.4974
bangladesh,No vaccination,2043,3407.4985,681.4997,6133.4974
bangladesh,No vaccination,2044,8518.7465,4429.7481,12607.7448
bangladesh,No vaccination,2045,11926.2450,7837.2467,16015.2433
bangladesh,No vaccination,2046,15333.7435,11244.7452,19422.7419
bangladesh,No vaccination,2047,17037.4928,12948.4945,21126.4911
bangladesh,No vaccination,2048,21296.8660,16526.3679,26067.3640
bangladesh,No vaccination,2049,26408.1138,21637.6157,31178.6118
bangladesh,No vaccination,2050,33223.1110,25726.6140,40719.6079
bangladesh,No vaccination,2051,36630.6095,29134.1125,44127.1065
bangladesh,No vaccination,2052,45149.3560,34926.8601,55371.8519
bangladesh,No vaccination,2053,52816.2278,40549.2327,65083.2229
bangladesh,No vaccination,2054,61334.9742,47704.9796,74964.9689
bangladesh,No vaccination,2055,68149.9713,51793.9779,84505.9648
bangladesh,No vaccination,2056,86039.3386,64912.8472,107165.8300
bangladesh,No vaccination,2057,102224.9570,77690.9672,126758.9469
bangladesh,No vaccination,2058,120114.3248,92172.8363,148055.8134
