location,scenario,year,cum_med,cum_lb,cum_ub
bangladesh,No vaccination,2061,0.0000,0.0000,0.0000
bangladesh,No vaccination,2062,0.0000,0.0000,0.0000
bangladesh,No vaccination,2063,0.0000,0.0000,0.0000
bangladesh,No vaccination,2064,0.0000,0.0000,0.0000
bangladesh,No vaccination,2065,0.0000,0.0000,0.0000
bangladesh,No vaccination,2066,0.0000,0.0000,0.0000
bangladesh,No vaccination,2067,0.0000,0.0000,0.0000
bangladesh,No vaccination,2068,0.0000,0.0000,0.0000
bangladesh,No vaccination,2069,0.0000,0.0000,0.0000
bangladesh,No vaccination,2070,0.0000,0.0000,0.0000
bangladesh,No vaccination,2071,0.0000,0.0000,0.0000
bangladesh,No vaccination,2072,0.0000,0.0000,0.0000
bangladesh,No vaccination,2073,0.0000,0.0000,0.0000
bangladesh,No vaccination,2074,0.0000,0.0000,0.0000
bangladesh,No vaccination,2075,0.0000,0.0000,0.0000
bangladesh,No vaccination,2076,0.0000,0.0000,0.0000
bangladesh,No vaccination,2077,0.0000,0.0000,0.0000
bangladesh,No vaccination,2078,0.0000,0.0000,0.0000
bangladesh,No vaccination,2079,0.0000,0.0000,0.0000
bangladesh,No vaccination,2080,0.0000,0.0000,0.0000
bangladesh,No vaccination,2081,0.0000,0.0000,0.0000
bangladesh,No vaccination,2082,0.0000,0.0000,0.0000
bangladesh,No vaccination,2083,0.0000,0.0000,0.0000
bangladesh,No vaccination,2084,0.0000,0.0000,0.0000
bangladesh,No vaccination,2085,0.0000,0.0000,0.0000
bangladesh,No vaccination,2086,0.0000,0.0000,0.0000
bangladesh,No vaccination,2087,0.0000,0.0000,0.0000
bangladesh,No vaccination,2088,0.0000,0.0000,0.0000
bangladesh,No vaccination,2089,0.0000,0.0000,0.0000
bangladesh,No vaccination,2090,0.0000,0.0000,0.0000
bangladesh,No vaccination,2091,0.0000,0.0000,0.0000
bangladesh,No vaccination,2092,0.0000,0.0000,0.0000
bangladesh,No vaccination,2093,0.0000,0.0000,0.0000
bangladesh,No vaccination,2094,0.0000,0.0000,0.0000
bangladesh,No vaccination,2095,0.0000,0.0000,0.0000
bangladesh,No vaccination,2096,0.0000,0.0000,0.0000
bangladesh,No vaccination,2097,0.0000,0.0000,0.0000
bangladesh,No vaccination,2098,0.0000,0.0000,0.0000
bangladesh,No vaccination,2099,0.0000,0.0000,0.0000
bangladesh,No vaccination,2100,0.0000,0.0000,0.0000
bangladesh,No vaccination,2101,0.0000,0.0000,0.0000
bangladesh,No vaccination,2102,0.0000,0.0000,0.0000
bangladesh,No vaccination,2103,0.0000,0.0000,0.0000
bangladesh,No vaccination,2104,0.0000,0.0000,0.0000
bangladesh,No vaccination,2105,0.0000,0.0000,0.0000
bangladesh,No vaccination,2106,0.0000,0.0000,0.0000
bangladesh,No vaccination,2107,0.0000,0.0000,0.0000
bangladesh,No vaccination,2108,0.0000,0.0000,0.0000
bangladesh,No vaccination,2109,0.0000,0.0000,0.0000
bangladesh,No vaccination,2110,0.0000,0.0000,0.0000
bangladesh,No vaccination,2111,0.0000,0.0000,0.0000
bangladesh,No vaccination,2112,0.0000,0.0000,0.0000
bangladesh,No vaccination,2113,0.0000,0.0000,0.0000
bangladesh,No vaccination,2114,0.0000,0.0000,0.0000
bangladesh,No vaccination,2115,0.0000,0.0000,0.0000
bangladesh,No vaccination,2116,0.0000,0.0000,0.0000
bangladesh,No vaccination,2117,0.0000,0.0000,0.0000
bangladesh,No vaccination,2118,0.0000,0.0000,0.0000
bangladesh,No vaccination,2119,0.0000,0.0000,0.0000
bangladesh,No vaccination,2120,0.0000,0.0000,0.0000
bangladesh,No vaccination,2121,0.0000,0.0000,0.0000
bangladesh,No vaccination,2122,0.0000,0.0000,0.0000
bangladesh,No vaccination,2123,0.0000,0.0000,0.0000
bangladesh,No vaccination,2124,0.0000,0.0000,0.0000
bangladesh,No vaccination,2125,0.0000,0.0000,0.0000
bangladesh,Double dose,2024,0.0000,0.0000,0.0000
bangladesh,Double dose,2025,0.0000,0.0000,0.0000
bangladesh,Double dose,2026,0.0000,0.0000,0.0000
bangladesh,Double dose,2027,0.0000,0.0000,0.0000
bangladesh,Double dose,2028,0.0000,0.0000,0.0000
bangladesh,Double dose,2029,0.0000,0.0000,0.0000
bangladesh,Double dose,2030,0.0000,0.0000,0.0000
bangladesh,Double dose,2031,0.0000,0.0000,0.0000
bangladesh,Double dose,2032,0.0000,0.0000,0.0000
bangladesh,Double dose,2033,0.0000,0.0000,0.0000
bangladesh,Double dose,2034,0.0000,0.0000,0.0000
bangladesh,Double dose,2035,0.0000,0.0000,0.0000
bangladesh,Double dose,2036,0.0000,0.0000,0.0000
bangladesh,Double dose,2037,0.0000,0.0000,0.0000
bangladesh,Double dose,2038,0.0000,0.0000,0.0000
bangladesh,Double dose,2039,0.0000,0.0000,0.0000
bangladesh,Double dose,2040,0.0000,0.0000,0.0000
bangladesh,Double dose,2041,0.0000,0.0000,0.0000
bangladesh,Double dose,2042,0.0000,0.0000,0.0000
bangladesh,Double dose,2043,0.0000,0.0000,0.0000
bangladesh,Double dose,2044,0.0000,0.0000,0.0000
bangladesh,Double dose,2045,0.0000,0.0000,0.0000
bangladesh,Double dose,2046,0.0000,0.0000,0.0000
bangladesh,Double dose,2047,0.0000,0.0000,0.0000
