scenario,year,cum_med,cum_lb,cum_ub
Double dose,2097.0000,0.0000,0.0000,0.0000
Double dose,2098.0000,0.0000,0.0000,0.0000
Double dose,2099.0000,0.0000,0.0000,0.0000
Double dose,2100.0000,0.0000,0.0000,0.0000
Double dose,2101.0000,0.0000,0.0000,0.0000
Double dose,2102.0000,0.0000,0.0000,0.0000
Double dose,2103.0000,0.0000,0.0000,0.0000
Double dose,2104.0000,0.0000,0.0000,0.0000
Double dose,2105.0000,0.0000,0.0000,0.0000
Double dose,2106.0000,0.0000,0.0000,0.0000
Double dose,2107.0000,0.0000,0.0000,0.0000
Double dose,2108.0000,0.0000,0.0000,0.0000
Double dose,2109.0000,0.0000,0.0000,0.0000
Double dose,2110.0000,0.0000,0.0000,0.0000
Double dose,2111.0000,0.0000,0.0000,0.0000
Double dose,2112.0000,0.0000,0.0000,0.0000
Double dose,2113.0000,0.0000,0.0000,0.0000
Double dose,2114.0000,0.0000,0.0000,0.0000
Double dose,2115.0000,0.0000,0.0000,0.0000
Double dose,2116.0000,0.0000,0.0000,0.0000
Double dose,2117.0000,0.0000,0.0000,0.0000
Double dose,2118.0000,0.0000,0.0000,0.0000
Double dose,2119.0000,0.0000,0.0000,0.0000
Double dose,2120.0000,0.0000,0.0000,0.0000
Double dose,2121.0000,0.0000,0.0000,0.0000
Double dose,2122.0000,0.0000,0.0000,0.0000
Double dose,2123.0000,0.0000,0.0000,0.0000
Double dose,2124.0000,0.0000,0.0000,0.0000
Double dose,2125.0000,0.0000,0.0000,0.0000
Single dose shipments,2024.0000,0.0000,0.0000,0.0000
Single dose shipments,2025.0000,0.0000,0.0000,0.0000
Single dose shipments,2026.0000,0.0000,0.0000,0.0000
Single dose shipments,2027.0000,0.0000,0.0000,0.0000
Single dose shipments,2028.0000,0.0000,0.0000,0.0000
Single dose shipments,2029.0000,0.0000,0.0000,0.0000
Single dose shipments,2030.0000,0.0000,0.0000,0.0000
Single dose shipments,2031.0000,0.0000,0.0000,0.0000
Single dose shipments,2032.0000,0.0000,0.0000,0.0000
Single dose shipments,2033.0000,0.0000,0.0000,0.0000
Single dose shipments,2034.0000,0.0000,0.0000,0.0000
Single dose shipments,2035.0000,0.0000,0.0000,0.0000
Single dose shipments,2036.0000,0.0000,0.0000,0.0000
Single dose shipments,2037.0000,0.0000,0.0000,0.0000
Single dose shipments,2038.0000,0.0000,0.0000,0.0000
Single dose shipments,2039.0000,0.0000,0.0000,0.0000
Single dose shipments,2040.0000,0.0000,0.0000,0.0000
Single dose shipments,2041.0000,0.0000,0.0000,0.0000
Single dose shipments,2042.0000,0.0000,0.0000,0.0000
Single dose shipments,2043.0000,0.0000,0.0000,0.0000
Single dose shipments,2044.0000,0.0000,0.0000,0.0000
Single dose shipments,2045.0000,0.0000,0.0000,0.0000
Single dose shipments,2046.0000,0.0000,0.0000,0.0000
Single dose shipments,2047.0000,0.0000,0.0000,0.0000
Single dose shipments,2048.0000,0.0000,0.0000,0.0000
Single dose shipments,2049.0000,0.0000,0.0000,0.0000
Single dose shipments,2050.0000,0.0000,0.0000,0.0000
Single dose shipments,2051.0000,0.0000,0.0000,0.0000
Single dose shipments,2052.0000,0.0000,0.0000,0.0000
Single dose shipments,2053.0000,0.0000,0.0000,0.0000
Single dose shipments,2054.0000,0.0000,0.0000,0.0000
Single dose shipments,2055.0000,0.0000,0.0000,0.0000
Single dose shipments,2056.0000,0.0000,0.0000,0.0000
Single dose shipments,2057.0000,0.0000,0.0000,0.0000
Single dose shipments,2058.0000,0.0000,0.0000,0.0000
Single dose shipments,2059.0000,0.0000,0.0000,0.0000
Single dose shipments,2060.0000,0.0000,0.0000,0.0000
Single dose shipments,2061.0000,0.0000,0.0000,0.0000
Single dose shipments,2062.0000,0.0000,0.0000,0.0000
Single dose shipments,2063.0000,0.0000,0.0000,0.0000
Single dose shipments,2064.0000,0.0000,0.0000,0.0000
Single dose shipments,2065.0000,0.0000,0.0000,0.0000
Single dose shipments,2066.0000,0.0000,0.0000,0.0000
Single dose shipments,2067.0000,0.0000,0.0000,0.0000
Single dose shipments,2068.0000,0.0000,0.0000,0.0000
Single dose shipments,2069.0000,0.0000,0.0000,0.0000
Single dose shipments,2070.0000,0.0000,0.0000,0.0000
Single dose shipments,2071.0000,0.0000,0.0000,0.0000
Single dose shipments,2072.0000,0.0000,0.0000,0.0000
Single dose shipments,2073.0000,0.0000,0.0000,0.0000
Single dose shipments,2074.0000,0.0000,0.0000,0.0000
Single dose shipments,2075.0000,0.0000,0.0000,0.0000
Single dose shipments,2076.0000,0.0000,0.0000,0.0000
